type,bandwidth,time
run,163.71,695673931232479
run,163.197,695673946647317
run,145.601,695673962109804
run,40.7502,695673979437917
run,57.6592,695674041279353
run,54.7929,695674085002936
run,49.6398,695674131014968
run,69.0203,695674181781562
run,115.225,695674218325718
run,148.9,695674240225318
run,162.424,695674257177746
run,158.5,695674272724330
run,142.669,695674288670472
run,156.664,695674306361374
run,161.24,695674322474974
run,151.777,695674338150136
run,137.967,695674354787583
run,130.625,695674373072125
run,136.768,695674392384138
run,159.462,695674410831722
run,163.347,695674426661190
run,149.551,695674442112733
run,124.469,695674459009448
run,63.6311,695674479290274
run,36.4254,695674518940585
run,42.9032,695674588114603
run,71.1225,695674646871707
run,86.0319,695674682331400
run,78.7456,695674711650944
run,49.7251,695674743668477
run,55.2778,695674794353822
run,41.0613,695674839980920
run,52.1344,695674901368845
run,96.7486,695674949727406
run,92.9771,695674975805592
run,130.902,695675002935473
run,142.035,695675022223998
run,163.98,695675039994069
run,161.797,695675055393867
run,161.43,695675070998340
run,163.658,695675086637629
run,161.834,695675102065715
run,140.72,695675117661868
run,152.003,695675135594054
run,163.089,695675152200492
run,162.254,695675167680868
run,160.737,695675183238492
run,161.189,695675198946102
run,163.601,695675214609104
run,134.154,695675230041799
run,24.3738,695675248902541
run,47.5333,695675352256714
run,92.498,695675405282475
run,93.8557,695675432558278
run,89.9772,695675459432252
run,103.421,695675487479777
run,110.885,695675511883477
run,160.27,695675534644433
run,146.18,695675550397100
run,140.799,695675567659132
run,163.949,695675585583125
run,156.958,695675600981099
run,140.109,695675617079691
run,159.883,695675635090821
run,161.763,695675650880225
run,163.267,695675666483738
run,163.467,695675681947281
run,163.507,695675697385575
run,165.256,695675712823454
run,149.647,695675728094098
run,137.85,695675744978429
run,161.755,695675763283964
run,162.95,695675778890645
run,41.0012,695675794378668
run,37.9074,695675855848706
run,60.2357,695675922315070
run,77.5748,695675964193221
run,70.6798,695675996711433
run,98.3177,695676032395129
run,132.058,695676058056477
run,160.108,695676077180231
run,151.513,695676092950915
run,133.446,695676109624170
run,142.122,695676128545969
run,163.227,695676146307944
run,158.457,695676161773823
run,162.85,695676177702877
run,163.221,695676193205492
run,163.065,695676208672267
run,160.224,695676224154499
run,137.817,695676239904445
run,154.316,695676258224828
run,161.519,695676274579295
run,161.446,695676290206873
run,158.315,695676305862450
run,92.5667,695676321825680
run,26.2021,695676349082315
run,54.5906,695676445225028
run,42.116,695676491401158
run,120.86,695676551235333
run,146.69,695676572132360
run,158.541,695676589359255
run,143.435,695676605284277
run,142,695676622903754
run,163.443,695676640697921
run,146.159,695676656149816
run,143.165,695676673430152
run,161.45,695676691077277
run,152.93,695676706716023
run,147.409,695676723220540
run,137.418,695676740357131
run,161.519,695676758727306
run,160.688,695676774356611
run,163.307,695676790063774
run,87.2329,695676805521684
run,41.4124,695676834454983
run,51.0492,695676895311733
run,34.8948,695676944695491
run,62.266,695677016894863
run,131.866,695677057389634
run,163.331,695677076533196
run,156.282,695677091994979
run,147.617,695677108147747
run,138.905,695677125259089
run,162.604,695677143430542
run,163.186,695677158959462
run,161.901,695677174431837
run,163.603,695677190024086
run,142.355,695677205449612
run,149.573,695677223192227
run,138.418,695677240062765
run,153.004,695677258307275
run,161.747,695677274825265
run,162.972,695677290432201
run,163.72,695677305915617
run,154.364,695677321328311
run,162.842,695677337676634
run,131.081,695677353177170
run,137.426,695677372437469
run,135.701,695677390800669
run,163.151,695677409392895
run,164.908,695677424862038
run,151.971,695677440161323
run,129.752,695677456764370
run,135.324,695677476234272
run,132.641,695677494876580
run,138.513,695677513892972
run,164.953,695677532105513
run,163.507,695677547404446
run,162.23,695677562835988
run,40.809,695677578385548
run,48.0675,695677640133287
run,52.8719,695677692575552
run,51.5083,695677740262551
run,80.5355,695677789185055
run,53.5322,695677820506514
run,41.2876,695677867609089
run,35.8095,695677928651602
run,93.6578,695677999016292
run,65.7257,695678025959514
run,112.438,695678064303311
run,123.117,695678086739207
run,157.192,695678107240260
run,162.264,695678123302084
run,139.041,695678138861980
run,149.965,695678157007960
run,158.348,695678173837858
run,161.466,695678189777728
run,163.88,695678205411897
run,165.518,695678220815055
run,164.84,695678236066723
run,159.013,695678251380984
run,139.984,695678267269621
run,156.73,695678285295632
run,153.246,695678301398607
run,131.714,695678317877684
run,162.432,695678337042879
run,163.85,695678352583991
run,50.1917,695678367990509
run,50.8659,695678418218791
run,46.0965,695678467778200
run,44.3709,695678522461456
run,69.0693,695678579265350
run,114.023,695678615781250
run,137.604,695678637912373
run,149.108,695678656255348
run,163.458,695678673184032
run,165.137,695678688630646
run,160.88,695678703919947
run,140.169,695678719607397
run,162.562,695678787968155
run,162.31,695678803527540
run,157.996,695678819092044
run,163.155,695678835072394
run,144.586,695678850553665
run,135.838,695678868017588
run,57.1411,695678886612439
run,55.3937,695678930748444
run,32.7855,695678976270261
run,61.5138,695679053122561
run,91.3483,695679094124059
run,90.9937,695679121749851
run,143.112,695679149463869
run,131.005,695679167121938
run,161.342,695679186391902
run,162.033,695679202042840
run,162.236,695679217624176
run,163.755,695679233186248
run,162.816,695679248598911
run,164.706,695679264098006
run,141.682,695679279422635
run,146.276,695679297230499
run,161.805,695679314481811
run,159.649,695679330078219
run,161.04,695679345890439
run,161.217,695679361565441
run,161.261,695679377221691
run,147.849,695679392873588
run,126.415,695679409938114
run,116.241,695679429908631
run,159.917,695679451609349
run,163.845,695679467394208
run,163.736,695679482803446
run,140.333,695679498218957
run,130.853,695679516196551
run,146.634,695679535473747
run,138.786,695679552697762
run,160.547,695679570887423
run,163.459,695679586613690
run,163.501,695679602056784
run,163.493,695679617495271
run,39.1689,695679632932989
run,52.1898,695679697268316
run,55.7459,695679745587259
run,57.362,695679790819536
run,78.0005,695679834779155
run,106.003,695679867111189
run,121.563,695679890909472
run,121.146,695679911666720
run,155.608,695679932505186
run,141.348,695679948733763
run,158.426,695679966590972
run,138.759,695679982536409
run,156.12,695680000721718
run,164.644,695680016889943
run,165.687,695680032222188
run,156.799,695680047459264
run,139.995,695680063553344
run,162.838,695680081576250
run,163.366,695680097076594
run,164.562,695680112556233
run,164.64,695680127906046
run,163.736,695680143240595
run,163.337,695680158657194
run,146.521,695680174109024
run,61.8222,695680191325840
run,32.5415,695680232113319
run,50.7724,695680309518587
run,78.1976,695680359154893
run,77.8151,695680391407085
run,56.9647,695680423845872
run,20.9787,695680468103351
run,48.36,695680588148508
run,86.9978,695680640254928
run,123.304,695680669260388
run,119.157,695680689732320
run,151.133,695680710919623
run,161.793,695680727623887
run,160.68,695680743227144
run,160.881,695680758939618
run,159.928,695680774632924
run,161.593,695680790440088
run,144.827,695680806067345
run,129.685,695680823506980
run,131.112,695680842971122
run,161.402,695680862236446
run,163.277,695680877881912
run,164.196,695680893342350
run,165.672,695680908716740
run,163.728,695680923954392
run,46.2778,695680939369486
run,70.7603,695680993843172
run,51.2324,695681029486771
run,49.3985,695681078698975
run,52.0077,695681129730885
run,105.414,695681178193350
run,98.8846,695681202152019
run,148.656,695681227665974
run,164.53,695681244670722
run,163.291,695681260036472
run,161.331,695681275499023
run,162.954,695681291179753
run,163.399,695681306672960
run,141.922,695681322119127
run,148.367,695681339896494
run,164.824,695681356907227
run,163.284,695681372222639
run,149.721,695681387679782
run,142.61,695681404533169
run,163.388,695681422225990
run,152.734,695681437670941
run,134.213,695681454187875
run,141.712,695681472980264
run,148.238,695681490782527
run,158.169,695681507802828
run,163.842,695681523784458
run,163.189,695681539195808
run,162.078,695681554664184
run,119.594,695681570236720
run,119.261,695681591341653
run,152.496,695681612512124
run,163.702,695681629075138
run,164.315,695681644498648
run,132.525,695681659864558
run,138.196,695681678904087
run,145.015,695681697162868
run,131.461,695681714560262
run,161.325,695681733750545
run,162.317,695681749397546
run,159.189,695681764945347
run,63.375,695681780826111
run,30.4469,695681820633481
run,43.9732,695681903363911
run,79.6131,695681960666467
run,80.7634,695681992368668
run,77.5882,695682023594702
run,56.5644,695682056107954
run,42.4023,695682100668573
run,77.0406,695682160089143
run,63.9471,695682192831071
run,51.6853,695682232269763
run,121.714,695682281038537
run,155.789,695682301786313
run,161.523,695682317996746
run,135.904,695682333627332
run,147.96,695682352197574
run,161.781,695682369260179
run,164.919,695682384864972
run,165.209,695682400172129
run,163.395,695682415454421
run,163.484,695682430903148
run,157.532,695682446343907
run,140.932,695682462362689
run,161.422,695682480284090
run,141.898,695682495924628
run,123.55,695682513708459
run,63.9917,695682534126887
run,30.8326,695682573563659
run,43.8538,695682655271579
run,70.8545,695682712752922
run,94.7374,695682748344425
run,94.59,695682774974619
run,130.137,695682801652046
run,161.599,695682821077404
run,142.004,695682836707221
run,144.093,695682854478412
run,162.977,695682871994495
run,161.703,695682887483127
run,162.945,695682903091376
run,162.433,695682918579815
run,163.626,695682934115487
run,164.399,695682949540309
run,141.87,695682964890091
run,151.461,695682982674498
run,162.953,695682999341162
run,163.434,695683014834049
run,163.834,695683030278296
run,164.085,695683045682126
run,133.623,695683061060036
run,141.813,695683079961738
run,140.237,695683097761602
run,160.693,695683115754844
run,162.903,695683131461814
run,163.422,695683146950990
run,163.412,695683162394596
run,162.098,695683177841531
run,163.798,695683193411763
run,142.795,695683208819082
run,145.234,695683226485151
run,163.479,695683243856241
run,163.038,695683259293639
run,163.077,695683274772350
run,163.322,695683290249174
run,164.681,695683305698732
run,55.0284,695683321020769
run,49.4464,695683366847710
run,37.587,695683417835363
run,48.7204,695683484874375
run,87.133,695683536616758
run,82.6079,695683565565705
run,42.8056,695683596103665
run,50.9223,695683654961923
run,59.2271,695683704487316
run,99.6245,695683797437472
run,111.187,695683822785472
run,118.839,695683845485692
run,157.406,695683866724035
run,157.901,695683882765314
run,140.352,695683898752064
run,158.225,695683916753434
run,164.263,695683932714008
run,156.232,695683948086094
